cusip,effective_quarter,share_multiplier,description,source_url,retrieved_date
64110L106,2025Q4,10,Netflix 10-for-1 forward stock split effective 2025-11-14,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000407/ex991_q425stocksplit.htm,2026-08-17
09857L108,2026Q2,25,Booking Holdings 25-for-1 forward stock split effective 2026-04-02,https://www.sec.gov/Archives/edgar/data/1075531/000095015726000465/form8-k.htm,2026-08-17
