filer_cik,quarter,accession,form,filing_date,role,in_book,detail
1656456,2024Q3,0001656456-24-000004,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2024Q4,0001656456-25-000001,13F-HR,2025-02-10,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2025Q1,0001656456-25-000005,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2025Q2,0001656456-25-000006,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2025Q3,0001656456-25-000007,13F-HR,2025-11-13,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2025Q4,0001656456-26-000001,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2026Q1,0001656456-26-000002,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1656456,2026Q2,0001656456-26-000003,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2024Q2,0001777813-24-000008,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2024Q3,0001777813-24-000010,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2024Q4,0001768757-25-000003,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2025Q1,0001777813-25-000005,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2025Q2,0001768757-25-000010,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2025Q3,0001777813-25-000008,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2025Q4,0001777813-26-000003,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2026Q1,0001777813-26-000006,13F-HR,2026-05-18,BASE_ORIGINAL,True,original 13F-HR is the base filing
1777813,2026Q2,0001777813-26-000009,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2024Q2,0001868537-24-000009,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2024Q3,0001520023-24-000041,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2024Q4,0001868537-25-000008,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2025Q1,0001868537-25-000009,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
