published_utc,action,quarter,pipeline_run_utc,source_commit,dashboard_sha256,evidence_package,evidence_generated_utc,reviewer,review_date,decision,prior_archived_to,note
2026-08-17T17:16:42+00:00,publish,2026Q2,2026-08-17T17:12:06+00:00,c14b08e1ec7ea8fde5bf439d55c67ce9797e7673,9023de90e406bd604155814de2ed1e9bda6ed95d97a572ef80c581d781b46aec,docs/evidence/2026Q2,2026-08-17T17:13:37+00:00,Philip Bergman,2026-08-17,approve — reviewed reconciliation and exceptions,dashboard/_archive/20260817T171642Z,
2026-08-20T08:55:00+00:00,publish,2026Q2,2026-08-20T08:54:50+00:00,270923339130abec3e46c58a4dae198086029047,155fb377ee6fe221c2ab647228d948788c902177f2a99088f24e41195889fdf0,docs/evidence/2026Q2,2026-08-20T08:54:53+00:00,Philip,2026-08-20,"approve — manager list trimmed to 16 (Icahn, Leon Cooperman, Fairholme, Giverny removed; holdings archived to data/_archive/holdings/)",dashboard/_archive/20260820T085500Z,
2026-08-20T09:10:46+00:00,publish,2026Q2,2026-08-20T08:54:50+00:00,fbc8748a797ea0673d36d091ab5b7e90a6a9379e,6fe4d2c0614e3baa18f12f7d41b61558a56d5ba33b657b61e69ae148cd0d487b,docs/evidence/2026Q2,2026-08-20T09:09:19+00:00,Philip,2026-08-20,"approve — landing headline manager count now derived from data (was hardcoded ""Twenty""); no data changes vs prior signed release",dashboard/_archive/20260820T091046Z,
