filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1484150,0001172661-25-002977,00724F101,ADBE,ADOBE INC,COM,,1377293,3560,SH,SOLE,,3560,0,0
1484150,0001172661-25-002977,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,357433739,2028223,SH,SOLE,,1881795,0,146428
1484150,0001172661-25-002977,025816109,AXP,AMERICAN EXPRESS CO,COM,,3253596,10200,SH,SOLE,,10200,0,0
1484150,0001172661-25-002977,115637100,BF/A,BROWN FORMAN CORP,CL A,,75084877,2733341,SH,SOLE,,2587799,0,145542
1484150,0001172661-25-002977,115637209,BF/B,BROWN FORMAN CORP,CL B,,44395149,1649764,SH,SOLE,,1453039,0,196725
1484150,0001172661-25-002977,13646K108,CP,CANADIAN PACIFIC KANSAS CITY,COM,,1054291,13300,SH,SOLE,,13300,0,0
1484150,0001172661-25-002977,12572Q105,CME,CME GROUP INC,COM,,2039588,7400,SH,SOLE,,7400,0,0
1484150,0001172661-25-002977,191216100,KO,COCA COLA CO,COM,,1344250,19000,SH,SOLE,,19000,0,0
1484150,0001172661-25-002977,194162103,CL,COLGATE PALMOLIVE CO,COM,,1363500,15000,SH,SOLE,,15000,0,0
1484150,0001172661-25-002977,254687106,DIS,DISNEY WALT CO,COM,,506863097,4087276,SH,SOLE,,3754114,0,333162
1484150,0001172661-25-002977,278642103,EBA,EBAY INC.,COM,,244575337,3284654,SH,SOLE,,3069620,0,215034
1484150,0001172661-25-002977,294429105,EFX,EQUIFAX INC,COM,,2671511,10300,SH,SOLE,,10300,0,0
1484150,0001172661-25-002977,303250104,FICO,FAIR ISAAC CORP,COM,,407843467,223114,SH,SOLE,,203778,0,19336
1484150,0001172661-25-002977,427866108,HSY,HERSHEY CO,COM,,846345,5100,SH,SOLE,,5100,0,0
1484150,0001172661-25-002977,461202103,INTU,INTUIT,COM,,524393027,665786,SH,SOLE,,610042,0,55744
1484150,0001172661-25-002977,518439104,EL,LAUDER ESTEE COS INC,CL A,,1165540,14425,SH,SOLE,,14425,0,0
1484150,0001172661-25-002977,55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,CL A,,689535,3300,SH,SOLE,,3300,0,0
1484150,0001172661-25-002977,G5784H106,,MANCHESTER UTD PLC NEW,ORD CL A,,85666100,4810000,SH,SOLE,,4499000,0,311000
1484150,0001172661-25-002977,609207105,MDLZ,MONDELEZ INTL INC,CL A,,385034315,5709287,SH,SOLE,,5333345,0,375942
1484150,0001172661-25-002977,654106103,NKE,NIKE INC,CL B,,1449216,20400,SH,SOLE,,20400,0,0
1484150,0001172661-25-002977,68389X105,ORCL,ORACLE CORP,COM,,3826025,17500,SH,SOLE,,17500,0,0
1484150,0001172661-25-002977,70450Y103,PYPL,PAYPAL HLDGS INC,COM,,336508920,4527838,SH,SOLE,,4242944,0,284894
1484150,0001172661-25-002977,713448108,PEP,PEPSICO INC,COM,,320488808,2427210,SH,SOLE,,2233823,0,193387
1484150,0001172661-25-002977,74144T108,TROW,PRICE T ROWE GROUP INC,COM,,1158000,12000,SH,SOLE,,12000,0,0
1484150,0001172661-25-002977,78409V104,SPGI,S&P GLOBAL INC,COM,,3111011,5900,SH,SOLE,,5900,0,0
1484150,0001172661-25-002977,883556102,TMO,THERMO FISHER SCIENTIFIC INC,COM,,346510982,854612,SH,SOLE,,788897,0,65715
1484150,0001172661-25-002977,87256C101,TKO,TKO GROUP HOLDINGS INC,CL A,,577447801,3173662,SH,SOLE,,2917656,0,256006
1484150,0001172661-25-002977,92345Y106,VRSK,VERISK ANALYTICS INC,COM,,2055900,6600,SH,SOLE,,6600,0,0
1484150,0001172661-25-002977,92826C839,V,VISA INC,COM CL A,,3550500,10000,SH,SOLE,,10000,0,0
